experiment,model,category,shot,seed,drift_level,policy,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score,delta_anomaly_score,accepted_updates
drift,ppm-ad-full,bottle,10,0,0.1,fixed,0.9976190476190476,0.9992440151090303,0.9815829120854085,0.7478776290266387,0.8387087739906574,0.7133795689356528,0.5544600036745219,0.002199425511208683,5.234620571136475,3055.203032999998,2.3144839155482106,0.1259765625,3.688952684402466,9.349807739257812,-0.008388519287109375,0
drift,ppm-ad-full,bottle,10,0,0.1,ungated,0.9976190476190476,0.9992440151090303,0.9836631512030418,0.7628699597968917,0.8408643279859662,0.7288646735961719,0.5733965994464215,0.0023170687946795316,5.650383472442627,3055.203032999998,2.299861891471489,0.1259765625,3.7218995094299316,9.506422996520996,-0.16500377655029297,4233
drift,ppm-ad-full,bottle,10,0,0.1,gated,0.9976190476190476,0.9992440151090303,0.9836631512030418,0.7628699597968917,0.8408643279859662,0.7288646735961719,0.5733965994464215,0.0023170687946795316,5.650383472442627,3055.203032999998,2.2988073255709676,0.1259765625,3.7218995094299316,9.506422996520996,-0.16500377655029297,4233
drift,ppm-ad-full,bottle,10,0,0.2,fixed,0.9976190476190476,0.9992440151090303,0.9814312305155469,0.7483022831778541,0.8818658453855274,0.711385776962096,0.5520548851967553,0.003204071326261805,5.310140609741211,3055.203032999998,2.4392837109759515,0.1259765625,3.7017924785614014,9.349261283874512,-0.007842063903808594,0
drift,ppm-ad-full,bottle,10,0,0.2,ungated,0.9968253968253968,0.9990036304936458,0.9832179346744723,0.7499133714178302,0.902434643673814,0.7262270014304741,0.570138480126398,0.0018667805236466427,5.572384357452393,3055.203032999998,2.3300422044156726,0.1259765625,3.7973475456237793,9.512736320495605,-0.17131710052490234,4233
drift,ppm-ad-full,bottle,10,0,0.2,gated,0.9968253968253968,0.9990036304936458,0.9832179346744723,0.7499133714178302,0.902434643673814,0.7262270014304741,0.570138480126398,0.0018667805236466427,5.572384357452393,3055.203032999998,2.2960198552772706,0.1259765625,3.7973475456237793,9.512736320495605,-0.17131710052490234,4233
drift,ppm-ad-full,bottle,10,0,0.3,fixed,0.9976190476190476,0.9992440151090303,0.9814282417795221,0.7504644325827938,0.860003188692981,0.7127767542940353,0.5537320403991927,0.007300413644776831,5.314671516418457,3055.203032999998,2.2737380479748577,0.1259765625,3.721161365509033,9.347949981689453,-0.00653076171875,0
drift,ppm-ad-full,bottle,10,0,0.3,ungated,0.996031746031746,0.998759551380519,0.9828118594338842,0.7403414660250592,0.8646392163103123,0.7261062838111935,0.5699896895508163,0.019069936064177694,5.636563777923584,3055.203032999998,2.259344759317261,0.1259765625,3.917292356491089,9.525259017944336,-0.1838397979736328,4233
drift,ppm-ad-full,bottle,10,0,0.3,gated,0.996031746031746,0.998759551380519,0.9828118594338842,0.7403414660250592,0.8646392163103123,0.7261062838111935,0.5699896895508163,0.019069936064177694,5.636563777923584,3055.203032999998,2.2534670243187,0.1259765625,3.917292356491089,9.525259017944336,-0.1838397979736328,4233
drift,ppm-ad-full,bottle,10,0,0.4,fixed,0.9976190476190476,0.9992440151090303,0.9812752990067919,0.7500782477706018,0.8508943400606755,0.712898888196517,0.5538794750923685,0.004150213130832717,5.278853416442871,3055.203032999998,2.330875710155731,0.1259765625,3.765103578567505,9.34569263458252,-0.004273414611816406,0
drift,ppm-ad-full,bottle,10,0,0.4,ungated,0.9936507936507937,0.9980524202494705,0.9811264189078693,0.7206006818308611,0.8276805057696837,0.715586357221702,0.5571307664358243,0.008876546666611784,5.674088001251221,3055.203032999998,2.2783018677552924,0.1259765625,5.012285232543945,9.623515129089355,-0.28209590911865234,4233
drift,ppm-ad-full,bottle,10,0,0.4,gated,0.9936507936507937,0.9980524202494705,0.9811264189078693,0.7206006818308611,0.8276805057696837,0.715586357221702,0.5571307664358243,0.008876546666611784,5.674088001251221,3055.203032999998,2.4248597229492894,0.1259765625,5.012285232543945,9.623515129089355,-0.28209590911865234,4233
drift,ppm-ad-full,bottle,10,1,0.0,fixed,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3162.624777003657,2.3064823379895807,0.1259765625,3.5764987468719482,8.77017593383789,0.0,0
drift,ppm-ad-full,bottle,10,1,0.0,ungated,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3162.624777003657,2.2972829037497426,0.1259765625,3.5764987468719482,8.77017593383789,0.0,4233
drift,ppm-ad-full,bottle,10,1,0.0,gated,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3162.624777003657,2.289287675121597,0.1259765625,3.5764987468719482,8.77017593383789,0.0,4233
drift,ppm-ad-full,bottle,10,1,0.1,fixed,1.0,0.9999999999999998,0.9815740450512245,0.7354602778381522,0.8442009714701059,0.7101147688372427,0.5505255441967617,0.018390336954323624,5.422441482543945,3162.624777003657,2.3152157467935814,0.1259765625,3.5966861248016357,8.786849021911621,-0.01667308807373047,0
drift,ppm-ad-full,bottle,10,1,0.1,ungated,1.0,0.9999999999999998,0.9818228377344556,0.7332682163152328,0.8859509781559226,0.7129422376874409,0.5539318114258065,0.002799524974911235,5.434447288513184,3162.624777003657,2.3004189038968996,0.1259765625,3.638193130493164,8.86878776550293,-0.09861183166503906,4233
drift,ppm-ad-full,bottle,10,1,0.1,gated,1.0,0.9999999999999998,0.9818228377344556,0.7332682163152328,0.8859509781559226,0.7129422376874409,0.5539318114258065,0.002799524974911235,5.434447288513184,3162.624777003657,2.4383425904916183,0.1259765625,3.638193130493164,8.86878776550293,-0.09861183166503906,4233
drift,ppm-ad-full,bottle,10,1,0.2,fixed,1.0,0.9999999999999998,0.9814504843672773,0.7360088060188478,0.9194620760295112,0.7092444472050392,0.5494800666704581,0.0030975620816632954,5.4419331550598145,3162.624777003657,2.298784192584186,0.1259765625,3.5997116565704346,8.77940845489502,-0.009232521057128906,0
drift,ppm-ad-full,bottle,10,1,0.2,ungated,0.9992063492063492,0.999751984126984,0.981611998255623,0.7223291779830896,0.9126371662913539,0.7120894324075797,0.5529028570195968,0.006009031173765929,5.438498497009277,3162.624777003657,2.2821320847261712,0.1259765625,3.7439701557159424,8.885905265808105,-0.11572933197021484,4233
drift,ppm-ad-full,bottle,10,1,0.2,gated,0.9992063492063492,0.999751984126984,0.981611998255623,0.7223291779830896,0.9126371662913539,0.7120894324075797,0.5529028570195968,0.006009031173765929,5.438498497009277,3162.624777003657,2.2830276023133673,0.1259765625,3.7439701557159424,8.885905265808105,-0.11572933197021484,4233
drift,ppm-ad-full,bottle,10,1,0.3,fixed,1.0,0.9999999999999998,0.9815274637807311,0.7368201005133667,0.9081503410941926,0.7113774752422877,0.5520448863611487,0.0045352315353087425,5.438379764556885,3162.624777003657,2.2752723376601875,0.1259765625,3.6428234577178955,8.781145095825195,-0.010969161987304688,0
drift,ppm-ad-full,bottle,10,1,0.3,ungated,0.9984126984126984,0.9995115995115993,0.9806458369255291,0.7076516257508954,0.863540981310225,0.7083023240609234,0.5483499252609405,0.00835253935810528,5.523098468780518,3162.624777003657,2.2618433982007633,0.1259765625,4.4455437660217285,8.929210662841797,-0.15903472900390625,4233
drift,ppm-ad-full,bottle,10,1,0.3,gated,0.9984126984126984,0.9995115995115993,0.9806458369255291,0.7076516257508954,0.863540981310225,0.7083023240609234,0.5483499252609405,0.00835253935810528,5.523098468780518,3162.624777003657,2.2663180007149064,0.1259765625,4.4455437660217285,8.929210662841797,-0.15903472900390625,4233
drift,ppm-ad-full,bottle,10,1,0.4,fixed,1.0,0.9999999999999998,0.9814415070367872,0.7381279135889699,0.8805219439670705,0.7095768524291806,0.549879203395364,0.004653076900102664,5.434085369110107,3162.624777003657,2.4776133733727206,0.1259765625,3.7256999015808105,8.80103588104248,-0.030859947204589844,0
drift,ppm-ad-full,bottle,10,1,0.4,ungated,0.9658730158730159,0.9898706072054617,0.9751426933797328,0.655797621602833,0.8432894997409978,0.6642194125782216,0.49725188315563656,0.007854098787818004,5.713919639587402,3162.624777003657,2.3139416382519014,0.1259765625,6.778318881988525,9.089784622192383,-0.3196086883544922,4233
drift,ppm-ad-full,bottle,10,1,0.4,gated,0.9658730158730159,0.9898706072054617,0.9751426933797328,0.655797621602833,0.8432894997409978,0.6642194125782216,0.49725188315563656,0.007854098787818004,5.713919639587402,3162.624777003657,2.2981813613497875,0.1259765625,6.778318881988525,9.089784622192383,-0.3196086883544922,4233
drift,ppm-ad-full,bottle,10,2,0.0,fixed,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,2958.764137001708,2.2744909638934487,0.1259765625,3.691972255706787,8.821222305297852,0.0,0
drift,ppm-ad-full,bottle,10,2,0.0,ungated,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,2958.764137001708,2.2774674217511213,0.1259765625,3.691972255706787,8.821222305297852,0.0,4233
drift,ppm-ad-full,bottle,10,2,0.0,gated,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,2958.764137001708,2.279675506049745,0.1259765625,3.691972255706787,8.821222305297852,0.0,4233
drift,ppm-ad-full,bottle,10,2,0.1,fixed,1.0,0.9999999999999998,0.9831436288666907,0.7377178187361971,0.9101351131035437,0.7288097472226003,0.5733286151543701,0.004870643393586242,5.483309745788574,2958.764137001708,2.463163915987923,0.1259765625,3.714298963546753,8.834704399108887,-0.013482093811035156,0
drift,ppm-ad-full,bottle,10,2,0.1,ungated,1.0,0.9999999999999998,0.9826840954611397,0.7238425597882623,0.8321066632437917,0.7254277249443081,0.5691538558789151,0.0024004563452257066,5.436527252197266,2958.764137001708,2.3087647950230448,0.1259765625,3.755934476852417,8.838616371154785,-0.017394065856933594,4233
drift,ppm-ad-full,bottle,10,2,0.1,gated,1.0,0.9999999999999998,0.9826840954611397,0.7238425597882623,0.8321066632437917,0.7254277249443081,0.5691538558789151,0.0024004563452257066,5.436527252197266,2958.764137001708,2.297017988236902,0.1259765625,3.755934476852417,8.838616371154785,-0.017394065856933594,4233
