experiment,model,shot,category,drift_level,policy,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
drift,ppm-ad-full,10,bottle,0.3,fixed,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820785319926731,0.0010415890747015961,0.7426097991936755,0.007052653112051776,0.8870450423295573,0.024616439301756242,0.7175156585118178,0.009445780519425304,0.5595298654933355,0.011534135783545754,0.004329178227977998,0.003079436758888111,3058.863982335121,101.97961584565219,2.2733000281966294,0.002223910182535341,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.3,gated,0.9970899470899471,0.0012123216124221787,0.9990915937952547,0.0003836629441160563,0.9817795844532152,0.001086570699505481,0.718993465888035,0.018499968722812878,0.8741033188072534,0.017352096534796746,0.7180843182601772,0.009031529290727654,0.5602165438997149,0.010970725659359689,0.019712939092507827,0.011695165943761415,3058.863982335121,101.97961584565219,2.2579178435390865,0.007279069397844368,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.3,ungated,0.9970899470899471,0.0012123216124221787,0.9990915937952547,0.0003836629441160563,0.9817795844532152,0.001086570699505481,0.718993465888035,0.018499968722812878,0.8741033188072534,0.017352096534796746,0.7180843182601772,0.009031529290727654,0.5602165438997149,0.010970725659359689,0.019712939092507827,0.011695165943761415,3058.863982335121,101.97961584565219,2.263193397990093,0.004672277866602367,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.4,fixed,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9819726446528382,0.0010671385201784732,0.7434010249856643,0.006097644492434461,0.8758567625342505,0.02298765372343237,0.717020331950056,0.010152318364156256,0.5589364977054546,0.012385919427655207,0.003326594412850447,0.001878941028125734,3058.863982335121,101.97961584565219,2.3595065821533048,0.10671195126151949,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.4,gated,0.9783068783068783,0.014115684203126075,0.9933820260329048,0.004212236239365271,0.9770538283779056,0.0035291869192423126,0.668922483061572,0.04652557379619464,0.8468966475699985,0.021250578470405193,0.6825705971612406,0.02865184254025902,0.518592740397411,0.03343915559169599,0.007390516819584991,0.0017641115579415465,3058.863982335121,101.97961584565219,2.32571911655977,0.08864016046444562,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.4,ungated,0.9783068783068783,0.014115684203126075,0.9933820260329048,0.004212236239365271,0.9770538283779056,0.0035291869192423126,0.668922483061572,0.04652557379619464,0.8468966475699985,0.021250578470405193,0.6825705971612406,0.02865184254025902,0.518592740397411,0.03343915559169599,0.007390516819584991,0.0017641115579415465,3058.863982335121,101.97961584565219,2.2850622528538396,0.026162682220104316,0.1259765625,0.0
drift,ppm-ad-full,10,carpet,0.0,fixed,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3210.9489856666187,91.83370673078139,2.313725715275904,0.01093678405331501,0.1259765625,0.0
drift,ppm-ad-full,10,carpet,0.0,gated,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3210.9489856666187,91.83370673078139,2.2860655098703444,0.005210315217648496,0.1259765625,0.0
drift,ppm-ad-full,10,carpet,0.0,ungated,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3210.9489856666187,91.83370673078139,2.2877407864247252,0.00321159208198473,0.1259765625,0.0
drift,ppm-ad-full,10,carpet,0.1,fixed,0.9636169074371321,0.03369432707318809,0.9894221622386556,0.010279754773225146,0.982809266689055,0.0073753867361986926,0.47584093466084604,0.10682325354177577,0.8210471462193278,0.03634199727663049,0.5285928405331705,0.08765903559838824,0.3624392497398646,0.08051896064654547,0.004993625392102683,0.004485940766451202,3210.9489856666187,91.83370673078139,2.2813021025850575,0.014234556548909729,0.1259765625,0.0
