experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
fewshot,patchcore,bottle,5,0,0.9968253968253968,0.9989838017340629,0.9854847224777064,0.7900743677786066,0.9106352537365,0.7402038938700406,0.58755848686016,0.0009109999426829521,0.42067551612854004,0.6182579963933676,0.43135669903972756,2.5,0.32797718048095703,0.6112000346183777
fewshot,patchcore-coreset,bottle,5,0,0.9968253968253968,0.9989838017340629,0.9842624081898257,0.7876869024542442,0.8663613740430808,0.7375285898839913,0.5841942906384071,0.003276760170175039,0.4493107497692108,0.4422850033733994,0.34991389155213953,0.25,0.38042938709259033,0.6307832598686218
fewshot,prototype-only,bottle,5,0,0.9928571428571429,0.9977350794651101,0.9841269958864826,0.7423730758198188,0.8925315214593083,0.7350230544944963,0.581056482575475,0.008051003735892272,6.288975715637207,1567.7660959991044,1.0181286868236745,0.1259765625,4.174948692321777,10.053548812866211
fewshot,ppm-ad-full,bottle,5,0,0.996031746031746,0.9987434171186782,0.983426466192471,0.74839224596551,0.9160006956150679,0.7295160395370547,0.5742032660303952,0.0006528797771815546,6.334949970245361,1615.1499960033107,2.362339711009598,0.1259765625,4.63059139251709,9.893913269042969
fewshot,patchcore,bottle,5,1,1.0,0.9999999999999998,0.9860985470460956,0.7609256315487056,0.9226870674697382,0.755076979862437,0.6065250362058545,0.00045443247001366455,0.447665810585022,0.6479020012193359,0.43147552989182025,2.5,0.33841294050216675,0.6284351944923401
fewshot,patchcore-coreset,bottle,5,1,0.9984126984126984,0.999500031494079,0.9850661043599911,0.7563199638381167,0.8522880422836621,0.751135315961786,0.6014545255079069,0.0007751266345689823,0.47767409682273865,0.7918129995232448,0.3636567951572767,0.25,0.4021114408969879,0.6463869214057922
fewshot,prototype-only,bottle,5,1,0.9904761904761904,0.9967325880474869,0.9835419311660281,0.699839585619759,0.920219184349162,0.733272515736898,0.5788715606525798,0.0004915730202594354,6.146868705749512,1677.9932849967736,1.0167446873025936,0.1259765625,3.9460055828094482,9.781564712524414
fewshot,ppm-ad-full,bottle,5,1,0.9968253968253968,0.9989838017340629,0.9827786100297813,0.7194183819878353,0.8692807138553806,0.7179595883810669,0.5600132272542352,0.002056918148849268,6.247677326202393,1664.7505789951538,2.3208495541735195,0.1259765625,4.353135108947754,10.194578170776367
fewshot,patchcore,bottle,5,2,1.0,0.9999999999999998,0.9860109936117629,0.7717434742068744,0.9019969254209859,0.7504408058688151,0.6005644305555244,0.0016922732900836901,0.41525980830192566,0.8320179986185394,0.44563880720784527,2.5,0.3302040696144104,0.587706983089447
fewshot,patchcore-coreset,bottle,5,2,1.0,0.9999999999999998,0.9849245188704857,0.7699961715734213,0.9347171601156148,0.7483952725970412,0.5979485824969185,0.012898151642561433,0.45108938217163086,0.9788789975573309,0.5225653131422305,0.25,0.37718674540519714,0.6045023202896118
fewshot,prototype-only,bottle,5,2,0.9888888888888888,0.9961161021368834,0.9830223663083609,0.7144033305054879,0.9089607516378473,0.7267567917526454,0.5707918071308946,0.0023864211315685487,5.949456691741943,1822.4258680056664,1.0316074817583065,0.1259765625,4.125554084777832,9.327934265136719
fewshot,ppm-ad-full,bottle,5,2,0.9992063492063492,0.999751984126984,0.9826612582263179,0.7489324056887147,0.9211958036973197,0.7169102669832974,0.558737435532083,0.0036189792834009876,6.153265476226807,1797.7012150004157,2.3476312643356048,0.1259765625,4.6727705001831055,9.825146675109863
