experiment,model,shot,category,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fewshot,patchcore-coreset,10,carpet,0.9638844301765649,0.003498313758860864,0.9897521795126534,0.0011929558889978856,0.9856111604200217,0.0015770618997249023,0.5779173468654056,0.014550519668915502,0.842013943976326,0.044722823309653624,0.5922080796514928,0.011736513389267266,0.4207300245904339,0.011790090749764365,0.0031774312869402802,0.0006064349023460776,0.7122006669912176,0.059530573563543576,0.3495230144198236,0.0051490154779393294,0.5,0.0
fewshot,patchcore-coreset,20,bottle,0.9997354497354497,0.00045821449935685223,0.9999173280423278,0.0001431920310489898,0.9859078207866075,0.0002692259479962941,0.7768560432800795,0.01913490573405093,0.8993109633332595,0.002136555408209274,0.750497980703892,0.004428597251748908,0.6006510476705961,0.0056619242748001735,0.0008033703472260295,0.00019291623500139067,1.6162049990574208,1.0638375167268694,0.3627737269381035,0.010201959138893235,1.0,0.0
fewshot,patchcore-coreset,20,carpet,0.9708400214018192,0.005221835552686868,0.9915751730983041,0.0015273323935339935,0.98658915219577,0.0012936599322553382,0.5797142250622099,0.015676252774441724,0.8781805693404338,0.05453172353066308,0.5912460127157374,0.01324485837939008,0.4197775216011473,0.013278136636964711,0.002336315793944024,0.000907735592225562,0.8288210010505281,0.03753996274155361,0.3501854672475102,0.001804355407874375,1.0,0.0
fewshot,ppm-ad-full,5,bottle,0.9973544973544973,0.0016521158725921786,0.9991597343265749,0.000526797931271318,0.98295544481619,0.00041211492830180944,0.7389143445473533,0.016886158835663027,0.9021590710559227,0.02859173073025484,0.7214619649671397,0.006994737788671435,0.5643179762722378,0.008584644799386084,0.0021095924031439366,0.0014837511593922736,1692.5339299996267,94.3937118356438,2.3436068431729074,0.021035808823091785,0.1259765625,0.0
fewshot,ppm-ad-full,5,carpet,0.9795345104333868,0.0060192616372391206,0.9943412269186555,0.001487293185336403,0.9869709626263129,0.0006438403890004663,0.5642866482045488,0.0631499555495366,0.8640553798839005,0.036250637296642935,0.5633571214274947,0.032423883153869605,0.3926024531423861,0.03110752072112514,0.004893537488573507,0.002927343797353733,1647.4503480033793,45.531691729394225,2.2965302790819924,0.04105473408578031,0.1259765625,0.0
fewshot,ppm-ad-full,10,bottle,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3087.5082006653734,74.43655022771124,2.307480140784372,0.02640992260047802,0.1259765625,0.0
fewshot,ppm-ad-full,10,carpet,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3144.3333436667067,127.35845467308616,2.308530128152014,0.019460591268691804,0.1259765625,0.0
fewshot,ppm-ad-full,20,bottle,0.9997354497354497,0.00045821449935682816,0.9999173280423278,0.00014319203104896575,0.9816675611686811,0.001659252709794394,0.7075089052102731,0.041243902432953186,0.8719903511112449,0.034274989805017676,0.7085897092330882,0.01388465432027564,0.5488132710236328,0.01657201864416684,0.00975490917492216,0.007638516432606746,3647.8185296655283,54.270560905220684,2.3153719680613363,0.012775770149979243,0.1259765625,0.0
fewshot,ppm-ad-full,20,carpet,0.9632156233279829,0.03940424697529218,0.9882557364790346,0.01374333769580544,0.9841871711163673,0.007788713435370416,0.519410240184279,0.12450120108591989,0.8448095292864646,0.0765789267270772,0.5208527088002095,0.11652739633694839,0.35752741267614424,0.10278229878229743,0.003456825386142143,0.003310691327978423,3857.941096665551,183.3841016037468,2.3024320852867475,0.016685438619307994,0.1259765625,0.0
fewshot,prototype-only,5,bottle,0.9907407407407408,0.001997310697161655,0.9968612565498267,0.0008171221358822833,0.9835637644536238,0.000552638349692343,0.7188719973150218,0.021615993718555233,0.9072371524821058,0.013924071409354373,0.7316841206613466,0.004356033071081467,0.5769066167863165,0.005407091990508143,0.003642999295906752,0.003933254339402929,1689.395083000515,127.7121788158714,1.0221602852948581,0.00821072496390128,0.1259765625,0.0
